sn_no ,english-hindi language,Hindi_Language,English_Language,Answers_from_ChatGpt_in_english,Hindi_Language_Answers,Tags,intent_id,category,problem_type,crop_stage,season,damage_level,local_terms,decision_logic
145,"Makke mein kharpatwar jyada aajatha hai, kaunsa dhawa ddalna hoga?","मक्के में खरपतवार ज्यादा आ जाते हैं, कौन सा दवा डालना चाहिए?",There is excessive weed growth in maize; which herbicide should be applied?,"For insects that appear during maize cob formation, the primary concern is often the corn earworm (Helicoverpa zea) or sometimes fall armyworm (Spodoptera frugiperda), which feed directly on the developing kernels, leading to reduced yield and quality, and potentially facilitating fungal infections. The remedy involves regular monitoring for egg masses and early instar larvae on the silks. Chemical control often requires targeted application of insecticides like spinosad, emamectin benzoate, or chlorantraniliprole to the silks and developing ears, as the larvae become harder to reach once they tunnel into the cob. Biological control using Trichogramma parasitoids can also be a viable option.","मक्का के भुट्टे बनने के दौरान दिखाई देने वाले कीटों के लिए मुख्य चिंता अक्सर कॉर्न ईयरवर्म (Helicoverpa zea) या कभी-कभी फॉल आर्मीवर्म (Spodoptera frugiperda) होती है, जो विकसित हो रहे दानों पर सीधे फीड करते हैं, जिससे पैदावार और गुणवत्ता कम हो सकती है और फंगल संक्रमण का खतरा बढ़ सकता है। इसका उपाय है सिल्क पर अंडों और प्रारंभिक अवस्था के लार्वा की नियमित निगरानी करना। रासायनिक नियंत्रण में अक्सर कीटनाशकों का लक्षित छिड़काव शामिल होता है, जैसे स्पिनोसैड, एमेमेक्टिन बेंजोएट या क्लोरंट्रानिलिप्रॉल, जो सिल्क और विकसित भुट्टों पर लगाया जाता है, क्योंकि लार्वा एक बार भुट्टे के अंदर सुरंग बनाने के बाद पहुंचना कठिन हो जाता है। जैविक नियंत्रण के लिए ट्राइकोग्राम्मा परासाइटॉयड्स का उपयोग भी एक प्रभावी विकल्प हो सकता है।",weed management,MAIZE_WEED_EXCESS,weed,excess_weeds,all stages,kharif,moderate,खरपतवार,If weeds heavy → identify weed type → apply pre/post herbicide → intercultivation
146,makka me tana chedak hua hai kya kare,"मक्का में तना छेदक हो गया है, क्या करें?",What should be done if maize stalks are damaged by stem borer?,"For excessive weed growth in maize, applying the correct herbicide is paramount and depends on the specific weed species present (broadleaf, grassy, or sedges) and the maize growth stage. Pre-emergent herbicides such as atrazine, pendimethalin, or S-metolachlor are generally applied after sowing but before weed emergence to prevent germination. Once weeds have emerged, post-emergent herbicides like nicosulfuron, mesotrione, or 2,4-D are used, often in combinations to achieve a broader spectrum of control. It is critical to strictly adhere to the product label instructions for application rates, timing, and safety to ensure both effective weed control and the health of the maize crop.","मक्का में अत्यधिक खरपतवार वृद्धि के लिए, सही हर्बिसाइड का उपयोग अत्यंत महत्वपूर्ण है और यह मौजूद खरपतवार की प्रजातियों (चौड़े पत्तेदार, घास जैसे या सैज) और मक्का के विकास चरण पर निर्भर करता है। प्री-इमर्जेंट हर्बिसाइड जैसे अत्राजीन, पेंडिमेथालिन या S-मेटोलाक्लोर आमतौर पर बुवाई के बाद लेकिन खरपतवार निकलने से पहले लगाया जाता है ताकि उनका अंकुरण रोका जा सके। जब खरपतवार उग आए हों, तो पोस्ट-इमर्जेंट हर्बिसाइड जैसे निकोसुल्फ्यूरॉन, मेसोट्रायोन या 2,4-डी का उपयोग किया जाता है, अक्सर मिश्रण में ताकि व्यापक नियंत्रण सुनिश्चित हो सके। उत्पाद लेबल में दिए गए मात्रा, समय और सुरक्षा निर्देशों का सख्ती से पालन करना आवश्यक है ताकि प्रभावी खरपतवार नियंत्रण और मक्का की फसल की सुरक्षा सुनिश्चित हो सके।",pest and disease management,MAIZE_STEM_BORER_DAMAGE,pest,stem_borer,vegetative,kharif,severe,तना छेदक,If stem borer damage → apply granular insecticide in whorl → destroy residues
147,Makke me kida patta kaat deta hain kya upaay hain?,"मक्के में कीड़ा पत्ते काट देता है, क्या उपाय है?",What is the remedy for insects that cut maize leaves?,"If maize stalks are damaged by stem borers, leading to lodging, reduced nutrient flow, or premature drying, the primary remedy involves a proactive approach to manage the pest from early stages. Once the stalk is significantly damaged, direct chemical treatment is less effective. Preventive measures include timely planting, destroying crop residues after harvest, and deep plowing to reduce overwintering populations. For infested plants, whorl application of granular insecticides like chlorantraniliprole or carbofuran during the early vegetative stages is effective. The use of Bt maize varieties, where available, offers significant intrinsic resistance.","यदि मक्का की डंठलें स्टेम बोर्स द्वारा क्षतिग्रस्त हो रही हैं, जिससे गिरावट, पोषण प्रवाह में कमी या समय से पहले सूखना हो, तो इसका मुख्य उपचार कीट को शुरुआती चरण से ही प्रबंधित करने का सक्रिय तरीका है। एक बार डंठल गंभीर रूप से क्षतिग्रस्त हो जाने पर सीधे रासायनिक उपचार कम प्रभावी होता है। निवारक उपायों में समय पर बुवाई, कटाई के बाद फसल अवशेषों को नष्ट करना और गहरी जुताई शामिल है ताकि कीट की ओवरविंटरिंग आबादी कम हो सके। प्रभावित पौधों के लिए, प्रारंभिक शाकवृक्षीय चरणों में ग्रैन्युलर कीटनाशक जैसे क्लोरंट्रानिलिप्रॉल या कार्बोफ्यूरान का व्हर्ल में छिड़काव प्रभावी होता है। उपलब्ध होने पर Bt मक्का किस्मों का उपयोग भी महत्वपूर्ण आंतरिक प्रतिरोध प्रदान करता है।",pest and disease management,MAIZE_LEAF_CUTTING_PEST,pest,leaf_cutting_insect,vegetative,kharif,moderate,पत्ता काटने वाला कीड़ा,If leaves cut → identify caterpillar → spray Emamectin or Spinosad
148,"makke mein urea dalne ke baad bhi pattha peela padraha hai, kya ilaaj hai?","मक्के में यूरिया डालने के बाद भी पत्ते पीले पड़ रहे हैं, क्या इलाज है?","After applying urea in maize, leaves are turning yellow. What is the treatment?","For insects that cut maize leaves, the specific remedy depends on the identified pest. If it's general defoliation by chewing pests like fall armyworm or other caterpillars, common remedies include targeted foliar sprays with insecticides such as emamectin benzoate, spinosad, or chlorantraniliprole, ensuring good coverage to reach the feeding larvae. For cutworms that sever seedlings, a soil drench or bait application might be necessary. Integrating pest management practices like regular scouting for early detection, promoting natural enemies, and maintaining field sanitation can also help in reducing reliance on chemical interventions.","मक्का के पत्तों को काटने वाले कीटों के लिए, उपचार की विधि पहचाने गए कीट पर निर्भर करती है। यदि यह फॉल आर्मीवर्म या अन्य लेफ-च्यूइंग कीटों द्वारा सामान्य पत्ती नुकसान है, तो आम उपायों में लक्षित फोलियर स्प्रे शामिल हैं, जैसे एमेमेक्टिन बेंजोएट, स्पिनोसैड या क्लोरंट्रानिलिप्रॉल, जिससे लार्वा तक अच्छी कवरेज पहुंचे। कटवर्म के लिए, जो बीजlings को काटते हैं, मिट्टी में ड्रेंच या बाइट का उपयोग आवश्यक हो सकता है। कीट प्रबंधन प्रथाओं को एकीकृत करना, जैसे प्रारंभिक पहचान के लिए नियमित निगरानी, प्राकृतिक शत्रुओं को बढ़ावा देना, और खेत की सफाई बनाए रखना, रासायनिक हस्तक्षेप पर निर्भरता कम करने में भी मदद करता है।",soil and nutrient management,MAIZE_YELLOW_AFTER_UREA,nutrient,yellow_leaf_after_fertilizer,vegetative,all,moderate,पीलापन,If yellow after urea → check irrigation + micronutrient → soil test
149,Makke me dawa dalne ke baad bhi kida nahi mara hain kya kare?,"मक्के में दवा डालने के बाद भी कीड़ा नहीं मरा है, क्या करें?","Even after applying pesticide in maize, insects are not dying. What should be done?","If maize leaves are turning yellow after applying urea, it could be due to several reasons, even though urea provides nitrogen, which is crucial for greening. Possible causes include temporary nitrogen toxicity if applied at too high a rate or too close to the plant, poor absorption due to water stress (too much or too little), or underlying deficiencies of other micronutrients like iron or zinc that are vital for chlorophyll synthesis, or even root damage. The treatment involves ensuring proper irrigation to facilitate nitrogen uptake, and if micronutrient deficiencies are suspected, a foliar application of the deficient micronutrient or a soil test to confirm and guide further fertilization.","यदि मक्का के पत्ते यूरिया डालने के बाद पीले होने लगें, तो इसके कई कारण हो सकते हैं, भले ही यूरिया नाइट्रोजन प्रदान करता है, जो हरियाली के लिए महत्वपूर्ण है। संभावित कारणों में अत्यधिक या पौधे के बहुत पास यूरिया डालने पर अस्थायी नाइट्रोजन विषाक्तता, पानी की कमी या अत्यधिक पानी के कारण अवशोषण में कमी, अन्य सूक्ष्म पोषक तत्वों जैसे लोहा या जिंक की कमी जो क्लोरोफिल निर्माण के लिए आवश्यक हैं, या जड़ों का नुकसान शामिल हो सकता है। उपचार में नाइट्रोजन अवशोषण को सुविधाजनक बनाने के लिए उचित सिंचाई सुनिश्चित करना और यदि सूक्ष्म पोषक तत्व की कमी संदेहित हो, तो उस सूक्ष्म पोषक तत्व का फोलियर स्प्रे या मिट्टी परीक्षण करके आगे की उर्वरक व्यवस्था करना शामिल है।",pest and disease management,MAIZE_PEST_NOT_DYING,pest,pesticide_failure,all stages,all,moderate,दवा असर नहीं,If pesticide not working → check dosage → rotate chemical → confirm pest
150,makke me jab bhutta lagta he rab kida lagat he kya kiya jay e..upay batayiye,"मक्के में भुट्टा लगने के समय कीड़ा लग जाता है, क्या उपाय करें?","When maize cobs form, root borer insects appear. What should be done?","If, even after applying pesticide in maize, insects are not dying, it suggests potential issues with pesticide efficacy, which could be due to incorrect dosage, improper application technique (e.g., poor coverage, wrong timing), the pesticide having expired, or, critically, the development of pesticide resistance in the insect population. The solution involves verifying the pesticide's active ingredient and expiry date, ensuring proper application according to label instructions, and if resistance is suspected, rotating to pesticides with a different mode of action. Consulting with a local agricultural expert to correctly identify the pest and recommend an appropriate and effective chemical is highly advised.","यदि मक्का में कीटनाशक लगाने के बावजूद कीट नहीं मर रहे हैं, तो यह कीटनाशक की प्रभावशीलता में संभावित समस्या को दर्शाता है, जो गलत मात्रा, गलत तरीके से छिड़काव (जैसे कवरेज की कमी, गलत समय), कीटनाशक की समाप्ति, या महत्वपूर्ण रूप से कीट आबादी में कीटनाशक प्रतिरोध के कारण हो सकता है। समाधान में कीटनाशक के सक्रिय संघटक और समाप्ति तिथि की जाँच करना, लेबल निर्देशों के अनुसार सही तरीके से छिड़काव करना, और यदि प्रतिरोध संदेहित हो, तो अलग कार्य प्रणाली वाले कीटनाशक का उपयोग करना शामिल है। कीट की सही पहचान और प्रभावी रासायनिक चयन के लिए स्थानीय कृषि विशेषज्ञ से परामर्श करना अत्यंत सलाह योग्य है।",pest and disease management,MAIZE_COB_STAGE_ROOT_PEST,pest,root_borer,reproductive,kharif,moderate,जड़ कीड़ा,If root pest → soil insecticide → crop rotation
151,"Makke mein seesa nikalne ke baad pillu keeda lagjatha hai, kaunsa chemical dalna hai?","मक्के में सीसा निकलने के बाद पिल्लू कीड़ा लग जाता है, कौन सा रसायन डालना चाहिए?","After the tassel appears in maize, stem borer insects attack. Which chemical should be used?","When maize cobs form and root borer insects appear, this is typically unusual as root borers (like some beetle larvae) primarily attack roots at earlier stages. However, if there's significant root damage at later stages, it can impact nutrient and water uptake, indirectly affecting cob formation and health. The primary remedy for root borers is generally preventive, such as using insecticide-treated seeds or soil application of granular insecticides at planting. If late-season root damage is observed and attributed to borers, improving soil health, ensuring adequate moisture, and addressing secondary stresses can help the plant tolerate the damage, as direct chemical control for root borers at this stage is often difficult and ineffective.","जब मक्का में कूबड़ बनते समय रूट बोअर कीट दिखाई दें, तो यह असामान्य है क्योंकि रूट बोअर (जैसे कुछ बीटल के लार्वा) मुख्य रूप से शुरुआती चरणों में जड़ों पर हमला करते हैं। हालांकि, यदि बाद के चरणों में जड़ों को महत्वपूर्ण क्षति पहुँचती है, तो यह पोषक तत्व और पानी के अवशोषण को प्रभावित कर सकती है और अप्रत्यक्ष रूप से कूबड़ के विकास और स्वास्थ्य पर असर डाल सकती है। रूट बोअर के लिए मुख्य उपचार सामान्यतः निवारक होता है, जैसे कीटाणुयुक्त बीज का उपयोग या बुवाई के समय मिट्टी में ग्रैन्युलर कीटनाशक का छिड़काव। यदि देर से जड़ क्षति देखी जाती है और यह बोअर्स के कारण है, तो मिट्टी की सेहत में सुधार, पर्याप्त नमी सुनिश्चित करना और द्वितीयक तनावों का समाधान पौधे को नुकसान सहने में मदद कर सकता है, क्योंकि इस चरण में रूट बोअर के लिए सीधे रासायनिक नियंत्रण अक्सर कठिन और अप्रभावी होता है।",pest and disease management,MAIZE_TASSEL_STAGE_STEM_BORER,pest,stem_borer_after_tassel,tasseling,kharif,severe,पिल्लू कीड़ा,If tassel stage borer → spray systemic insecticide
152,"Makke mein pillu keeda lagjatha hai, kaunsa chemical dalna hai?","मक्के में पिल्लू कीड़ा लग जाता है, कौन सा रसायन डालना चाहिए?",Stem borer insects infest maize. Which chemical should be applied?,"After the tassel appears in maize, if stem borer insects attack, the chemical choice needs to be effective against larvae feeding inside the stalk. At this stage, while some systemic insecticides might still be effective, direct application into the whorl is less feasible as the tassel has emerged. Insecticides with active ingredients like chlorantraniliprole or emamectin benzoate, which have systemic or translaminar action, can be applied as foliar sprays to target larvae that may still be accessible or before they tunnel deep into the stalk. However, at this late stage, the focus shifts more towards managing the damage and protecting the developing cobs, as severe stalk damage can lead to lodging.","जब मक्का में टॉसल (भुट्टा का फूल) निकल जाए और स्टेम बोअर कीट हमला करें, तो रासायनिक चयन ऐसा होना चाहिए जो तने के अंदर फीड करने वाले लार्वा के खिलाफ प्रभावी हो। इस चरण में, जबकि कुछ प्रणालीगत (systemic) कीटनाशक अभी भी प्रभावी हो सकते हैं, सीधे व्हर्ल (whorl) में छिड़काव करना मुश्किल हो जाता है क्योंकि टॉसल बाहर आ चुका है। ऐसे कीटनाशक जिनमें सक्रिय संघटक जैसे क्लोरैंट्रानिलप्रोल (chlorantraniliprole) या एमामेक्टिन बेंजोएट (emamectin benzoate) हों, जो प्रणालीगत या ट्रांसलैमिनर (translaminar) कार्य करते हैं, उन्हें फोलियर स्प्रे के रूप में लगाया जा सकता है ताकि अभी भी सुलभ लार्वा को लक्षित किया जा सके या वे तने के अंदर गहराई में जाने से पहले मार सकें। हालांकि, इस देर से चरण में ध्यान अधिकतर हुए नुकसान को प्रबंधित करने और विकसित हो रहे कूबड़ की सुरक्षा पर होता है, क्योंकि गंभीर तने का नुकसान झुकाव (lodging) का कारण बन सकता है।",pest and disease management,MAIZE_STEM_BORER_GENERAL,pest,stem_borer,vegetative,all,severe,तना छेदक,If stem borer → apply whorl insecticide → monitor field
153,"Makke ki fasal mein pillu keeda lagjatha hai, kaunsa chemical dalna hai?","मक्के की फसल में पिल्लू कीड़ा लग जाता है, कौन सा रसायन डालना चाहिए?","In the maize crop, stem borer insects appear. Which chemical should be used?","For stem borer insects infesting maize, the application of specific chemicals depends on the growth stage and the severity of infestation. For early control (up to 3-4 weeks after emergence), granular insecticides like chlorantraniliprole or carbofuran are highly effective when applied into the whorl of the plant. These chemicals are absorbed by the plant and kill the larvae as they feed. For later stages or larger areas, foliar sprays with systemic action, containing active ingredients such as emamectin benzoate, spinosad, or indoxacarb, can also be used, ensuring proper coverage to reach the larvae feeding inside the stem.","स्टेम बोअर कीट से मक्का की रक्षा में रासायनिक छिड़काव का चयन कीट की अवस्था और संक्रमण की तीव्रता पर निर्भर करता है। शुरुआती नियंत्रण (उद्भव के 3-4 सप्ताह तक) के लिए, ग्रैन्युलर कीटनाशक जैसे क्लोरैंट्रानिलप्रोल या कार्बोफुरान को पौधे के व्हर्ल में लगाना अत्यंत प्रभावी होता है। ये रसायन पौधे में अवशोषित होकर फीड करने वाले लार्वा को मारते हैं। बाद के चरणों या बड़े क्षेत्रों में, प्रणालीगत कार्रवाई वाले फोलियर स्प्रे जैसे कि एमामेक्टिन बेंजोएट, स्पिनोसाड या इंडॉक्साकार्ब का उपयोग किया जा सकता है, यह सुनिश्चित करते हुए कि लार्वा तक पूरी तरह पहुंच हो।",pest and disease management,RICE_POOR_GROWTH_AFTER_TRANSPLANT,crop_management,poor_growth,transplant stage,kharif,moderate,धान की कमजोर बढ़वार,If rice poor growth → check nutrients → irrigation → pest presence
154,"Dhaan ki fasal mein ropai hone ke baad, growth nahi hotha acha se, kya karen?","धान की फसल में रोपाई के बाद अच्छी वृद्धि नहीं होती है, क्या करें?","After transplanting rice, the crop does not grow well. What should be done?","To control stem borer insects in the maize crop, several chemical options are available, and the choice often depends on the specific species of borer and the stage of crop growth. For initial control, chlorantraniliprole and carbofuran (often in granular formulations) are commonly applied into the whorl of young maize plants, providing systemic action against feeding larvae. As the crop matures, if infestations persist, foliar sprays containing active ingredients like emamectin benzoate or spinosad can be effective, particularly when targeting newly hatched larvae before they tunnel deep into the stalk. Always consult product labels for correct dosage, application timing, and safety precautions.","मक्का में स्टेम बोअर कीट के नियंत्रण के लिए कई रासायनिक विकल्प उपलब्ध हैं, और चयन अक्सर बोअर की विशिष्ट प्रजाति और फसल की अवस्था पर निर्भर करता है। प्रारंभिक नियंत्रण के लिए, क्लोरैंट्रानिलप्रोल और कार्बोफुरान (अकसर ग्रैन्युलर रूप में) को युवा मक्का पौधों के व्हर्ल में लगाया जाता है, जिससे फीड करने वाले लार्वा पर प्रणालीगत प्रभाव पड़ता है। जैसे-जैसे फसल बढ़ती है और संक्रमण जारी रहता है, फोलियर स्प्रे जिनमें सक्रिय संघटक जैसे एमामेक्टिन बेंजोएट या स्पिनोसाड शामिल हों, विशेष रूप से नवजात लार्वा को लक्षित करने के लिए प्रभावी होते हैं, इससे पहले कि वे तने के अंदर गहराई में सुरंग खोद लें। हमेशा सही मात्रा, छिड़काव समय और सुरक्षा उपायों के लिए उत्पाद लेबल का पालन करें।",crop management,MAIZE_YELLOW_AFTER_GERMINATION,nutrient,yellow_leaf,seedling,all,moderate,पीलापन,If yellow seedlings → apply nitrogen → correct water
155,Makke me pila pan aat he germibnation ke bad kya kare,"मक्का में अंकुरण के बाद पीलापन आ जाता है, क्या करें?","After maize germination, yellowing appears. What is the remedy?","If, after transplanting rice, the crop does not grow well, it indicates a problem with establishment, often referred to as ""transplant shock,"" or underlying issues in the field. Causes can include root damage during transplanting, insufficient water immediately after transplanting, poor soil fertility, nutrient deficiencies (e.g., zinc deficiency common in transplanted rice), or early-season pest/disease pressure. The solution involves minimizing root damage during handling, ensuring consistent moisture levels in the field post-transplanting, applying a balanced fertilizer with micronutrients if soil tests indicate deficiencies, and promptly addressing any visible pest or disease symptoms to allow the plants to establish robustly.","अगर धान का रोपण करने के बाद फसल अच्छी तरह नहीं बढ़ती, तो यह स्थापना में समस्या को दर्शाता है, जिसे आमतौर पर ""ट्रांसप्लांट शॉक"" कहा जाता है, या खेत में कोई अन्य अंतर्निहित समस्या हो सकती है। इसके कारणों में रोपण के दौरान जड़ों को नुकसान, रोपण के तुरंत बाद अपर्याप्त जल, कमजोर मिट्टी उर्वरता, पोषक तत्वों की कमी (जैसे जिंक की कमी, जो रोपित धान में आम होती है), या शुरुआती मौसम में कीट/रोग दबाव शामिल हो सकते हैं। समाधान में हैं: संभालते समय जड़ों को न्यूनतम नुकसान पहुँचाना, रोपण के बाद खेत में लगातार नमी बनाए रखना, मिट्टी परीक्षण के आधार पर संतुलित उर्वरक और सूक्ष्म पोषक तत्व देना, और किसी भी दिखाई देने वाले कीट या रोग के लक्षणों को तुरंत नियंत्रित करना ताकि पौधे मजबूत तरीके से स्थापित हो सकें।",soil and nutrient management,MAIZE_COB_STAGE_PEST_CONTROL,pest,cob_stage_insect,cob formation,kharif,severe,भुट्टा कीड़ा,If cob insects → spray targeted insecticide
156,"Makka me kida lag jata he , bhutta lagne ke samay kya kiya jaye upay batyiye","मक्का में भुट्टा लगने के समय कीड़ा लग जाता है, क्या उपाय करें?","In maize, insects appear during cob formation. What is the remedy?","After maize germination, if yellowing appears, the most common cause is a nitrogen deficiency, as nitrogen is crucial for early vigorous growth and the synthesis of chlorophyll, which gives plants their green color. Other factors could include temporary water stress (too much or too little water), root damage preventing nutrient uptake, or deficiencies in other micronutrients like iron or zinc. The remedy typically involves top-dressing with a nitrogen-containing fertilizer (e.g., urea) at the appropriate rate, ensuring proper soil moisture for nutrient absorption, and if micronutrient issues are suspected, a foliar application of the specific deficient nutrient or a soil test to confirm and guide further fertilization.","मक्का के अंकुरण के बाद यदि पत्तियाँ पीली पड़ने लगें, तो सबसे आम कारण नाइट्रोजन की कमी होती है, क्योंकि नाइट्रोजन शुरुआती तेज़ वृद्धि और क्लोरोफिल के संश्लेषण के लिए महत्वपूर्ण है, जो पौधों को हरा रंग देता है। अन्य कारणों में अस्थायी जल तनाव (बहुत अधिक या बहुत कम पानी), जड़ों को नुकसान जिससे पोषक तत्व अवशोषण रुक जाए, या लोहे या जिंक जैसे अन्य सूक्ष्म पोषक तत्वों की कमी शामिल हो सकते हैं। उपचार में आमतौर पर उचित मात्रा में नाइट्रोजन युक्त उर्वरक (जैसे यूरिया) की टॉप-ड्रेसिंग, पोषक तत्व अवशोषण के लिए सही मिट्टी नमी सुनिश्चित करना, और यदि सूक्ष्म पोषक तत्वों की कमी संदेहास्पद हो तो विशेष पोषक तत्व का पत्ती छिड़काव या मिट्टी परीक्षण द्वारा आगे की उर्वरक योजना बनाना शामिल है।",pest and disease management,CROP_YIELD_INCREASE,crop_management,low_yield,all stages,all,moderate,उत्पादन,If low yield → improve variety + nutrition + pest control
157,Fasal me utpadan ko kese badhaye?,फसल में उत्पादन कैसे बढ़ाएं?,How can crop production be increased?,"When insects appear during maize cob formation, the primary concern is often the corn earworm (Helicoverpa zea) or sometimes fall armyworm (Spodoptera frugiperda), which feed directly on the developing kernels, leading to reduced yield and quality, and potentially facilitating fungal infections. The remedy involves regular monitoring for egg masses and early instar larvae on the silks. Chemical control often requires targeted application of insecticides like spinosad, emamectin benzoate, or chlorantraniliprole to the silks and developing ears, as the larvae become harder to reach once they tunnel into the cob. Biological control using Trichogramma parasitoids can also be a viable option.","जब मक्का के कूबड़ बनने के दौरान कीट दिखाई देते हैं, तो मुख्य चिंता अक्सर कॉर्न ईयरवर्म (Helicoverpa zea) या कभी-कभी फॉल आर्मीवर्म (Spodoptera frugiperda) होती है, जो विकसित हो रहे दानों पर सीधे हमला करते हैं, जिससे पैदावार और गुणवत्ता कम हो जाती है और कभी-कभी फंगल संक्रमण का रास्ता खुल जाता है। उपचार में शामिल है: सिल्क पर अंडे और शुरुआती लार्वा की नियमित निगरानी। रासायनिक नियंत्रण में अक्सर कीटनाशक जैसे स्पिनोसैड, एमामेक्टिन बेंजोएट, या क्लोरैंट्रानिलप्रोल का सिल्क और विकसित कूबड़ पर लक्षित छिड़काव शामिल होता है, क्योंकि लार्वा कूबड़ के अंदर सुरंग बनाने के बाद पहुंचना कठिन हो जाता है। जैविक नियंत्रण के लिए ट्राइकोग्राम्मा परासाइटॉइड का उपयोग भी एक प्रभावी विकल्प हो सकता है।",crop management,MAIZE_YELLOW_LEAF_GENERAL,nutrient,leaf_yellowing,vegetative,all,moderate,पीलापन,If yellow leaf → check nitrogen + water stress
158,Makke me patta pila pad jata hain kya upaay hain?,"मक्के में पत्ते पीले पड़ जाते हैं, क्या उपाय है?",Maize leaves turn yellow. What is the remedy?,"To increase crop production, a holistic approach is essential, focusing on optimizing all limiting factors for plant growth. This includes implementing improved varieties that are high-yielding and adapted to local conditions, ensuring balanced nutrient management based on soil testing, providing optimal water management through efficient irrigation or rain-fed strategies, and effective pest and disease management to minimize losses. Additionally, adopting proper cultural practices like timely sowing, appropriate plant spacing, and good soil health management (e.g., incorporating organic matter, crop rotation) collectively contribute to maximizing yield potential and overall productivity.","फसल उत्पादन बढ़ाने के लिए समग्र दृष्टिकोण आवश्यक है, जिसमें पौधों की वृद्धि के लिए सभी सीमित कारकों को अनुकूलित करने पर ध्यान देना शामिल है। इसमें उच्च उपज देने वाली और स्थानीय परिस्थितियों के अनुकूल उन्नत किस्मों का उपयोग, मिट्टी परीक्षण के आधार पर संतुलित पोषक तत्व प्रबंधन, कुशल सिंचाई या वर्षा आधारित रणनीतियों के माध्यम से जल प्रबंधन, और कीट तथा रोग नियंत्रण शामिल हैं ताकि नुकसान न्यूनतम हो। इसके अलावा, सही कृषि तकनीक अपनाना जैसे समय पर बुवाई, उचित पौध spacing, और मिट्टी की अच्छी सेहत बनाए रखना (जैसे जैविक पदार्थ का समावेश, फसल चक्रण) मिलकर उपज क्षमता और समग्र उत्पादकता को अधिकतम करने में योगदान देते हैं।",soil and nutrient management,MAIZE_LEAF_SPOTS,disease,leaf_spots,vegetative,kharif,moderate,पत्तों पर धब्बे,If leaf spots → diagnose fungal disease → spray fungicide
159,Makke ke patte par dhabba pad jata hain?,मक्के के पत्तों पर धब्बे पड़ जाते हैं,Spots appear on maize leaves. What should be done?,"If maize leaves turn yellow, it is most frequently a symptom of nitrogen deficiency, a crucial nutrient for chlorophyll production and overall plant vigor. However, it can also indicate deficiencies in other micronutrients like iron or zinc, water stress (either too much or too little), or even root damage caused by pests or diseases. The remedy involves conducting a soil test to pinpoint specific nutrient imbalances and then applying appropriate fertilizers as a top-dressing. Ensuring consistent and adequate soil moisture and promptly addressing any identified pest or disease issues that could impede nutrient uptake are also vital for restoring leaf color and plant health.","यदि मक्का के पत्ते पीले पड़ने लगते हैं, तो यह अक्सर नाइट्रोजन की कमी का लक्षण होता है, जो क्लोरोफिल निर्माण और पौधों की समग्र vigor के लिए महत्वपूर्ण पोषक तत्व है। हालांकि, यह लोहा या जिंक जैसे अन्य सूक्ष्म पोषक तत्वों की कमी, जल तनाव (अधिक या कम पानी), या कीट/रोग के कारण जड़ों को हुए नुकसान को भी दर्शा सकता है। उपचार में विशेष पोषक तत्वों की असंतुलन की पहचान के लिए मिट्टी परीक्षण करना और उसके बाद उचित उर्वरक का टॉप-ड्रेसिंग करना शामिल है। साथ ही, लगातार और पर्याप्त मिट्टी की नमी सुनिश्चित करना और पोषक तत्व अवशोषण में बाधा डालने वाले किसी भी कीट या रोग की समस्या का समय पर समाधान करना भी आवश्यक है।",pest and disease management,MAIZE_PEST_INFORMATION,pest,pest_information,all stages,all,informational,मक्का के कीड़े,If pest information → identify pest → apply correct control
160,Makke main kya kida lagta he jankaru bataye,"मक्का में कौन से कीड़े लगते हैं, जानकारी बताएं",What types of insects attack maize? Please provide information.,"If spots appear on maize leaves, the first step is to identify the cause, as spots can be symptoms of various fungal or bacterial diseases, nutrient deficiencies, or even insect feeding. Common fungal diseases include Northern Corn Leaf Blight (long, elliptical lesions), Southern Corn Leaf Blight, or Gray Leaf Spot (rectangular, brown lesions). If a disease is suspected, cultural practices like crop rotation and residue management are crucial. For confirmed fungal diseases, fungicides containing active ingredients like azoxystrobin, propiconazole, or pyraclostrobin can be applied. If nutrient deficiency is indicated, a foliar application of the deficient micronutrient or a soil test to guide fertilization would be beneficial.","यदि मक्का के पत्तों पर धब्बे दिखाई दें, तो सबसे पहले कारण की पहचान करना जरूरी है, क्योंकि धब्बे विभिन्न फंगल या बैक्टीरियल रोगों, पोषक तत्वों की कमी, या कीट के खाने के लक्षण हो सकते हैं। सामान्य फंगल रोगों में नॉर्दर्न कॉर्न लीफ ब्लाइट (लंबे, अंडाकार घाव), साउथर्न कॉर्न लीफ ब्लाइट, या ग्रे लीफ स्पॉट (आयताकार, भूरा घाव) शामिल हैं। यदि रोग की संभावना है, तो फसल चक्रण और अवशेष प्रबंधन जैसी कृषि तकनीकें महत्वपूर्ण हैं। पुष्ट फंगल रोगों के लिए, एज़ॉक्सिस्ट्रोबिन, प्रोपिकोनाजोल, या पिराक्लोस्ट्रोबिन जैसे सक्रिय घटक वाले फफूंदनाशी का छिड़काव किया जा सकता है। यदि पोषक तत्व की कमी है, तो कम पाए गए सूक्ष्म पोषक तत्व का पत्ती छिड़काव या उर्वरक प्रबंधन के लिए मिट्टी परीक्षण उपयोगी होगा।",pest and disease management,MAIZE_FERTILIZER_REQUIREMENT,nutrient,fertilizer_requirement,basal stage,all,preventive,खाद,If fertilizer needed → apply NPK based on soil test
